fecha,temp,hum,presion,dir,vel,nub,situacion
2019-04-01 00:00:00,20.1,85.0,1016.3,E,14.8,6,Nuboso
2019-04-01 01:00:00,19.2,93.0,1016.7,E,9.4,4,Nubes dispersas
2019-04-01 02:00:00,18.5,95.0,1016.7,E,3.6,0,Despejado
2019-04-01 03:00:00,15.2,96.0,1016.7,S,5.4,0,"Despejado, neblina"
2019-04-01 04:00:00,16.2,95.0,1016.3,E,7.6,4,"Nubes dispersas, neblina"
2019-04-01 05:00:00,16.0,96.0,1016.6,-,0.0,4,"Nubes dispersas, neblina"
2019-04-01 06:00:00,15.6,96.0,1015.8,-,0.0,5,"Nuboso, neblina"
2019-04-01 07:00:00,15.2,96.0,1015.2,E,5.4,7,"Nuboso, neblina"
2019-04-01 08:00:00,15.0,95.0,1014.9,SE,5.4,6,"Nuboso, neblina"
2019-04-01 09:00:00,13.6,98.0,1015.7,S,5.4,3,"Nubes dispersas, neblina"
2019-04-01 10:00:00,13.5,98.0,1016.1,E,5.4,5,"Nuboso, neblina"
2019-04-01 11:00:00,13.4,97.0,1016.6,E,7.6,4,"Nubes dispersas, niebla"
2019-04-01 12:00:00,17.2,98.0,1017.4,SE,1.8,4,"Nubes dispersas, niebla o niebla helada"
2019-04-01 13:00:00,20.4,73.0,1017.0,N,13.0,4,Nubes dispersas
2019-04-01 14:00:00,22.8,56.0,1016.5,N,16.6,1,Algunas nubes
2019-04-01 15:00:00,24.7,50.0,1016.0,N,14.8,1,Algunas nubes
2019-04-01 16:00:00,26.2,47.0,1015.6,N,18.4,1,Algunas nubes
2019-04-01 17:00:00,27.0,45.0,1014.6,N,22.3,1,Algunas nubes
2019-04-01 18:00:00,27.2,40.0,1013.8,N,20.5,1,Algunas nubes
2019-04-01 19:00:00,26.6,47.0,1013.5,N,18.4,4,Nubes dispersas
2019-04-01 20:00:00,27.0,48.0,1013.4,N,18.4,5,Nuboso
2019-04-01 21:00:00,25.2,58.0,1013.5,N,14.8,5,Nuboso
2019-04-01 22:00:00,21.0,77.0,1013.0,N,13.0,3,Nubes dispersas
