fecha,potencia
2019-05-30 12:45:00,975
2019-05-30 12:46:00,1003
2019-05-30 12:47:00,1007
2019-05-30 12:48:00,989
2019-05-30 12:49:00,800
2019-05-30 12:50:00,786
2019-05-30 12:51:00,875
2019-05-30 12:52:00,860
2019-05-30 12:53:00,792
2019-05-30 12:54:00,785
2019-05-30 12:55:00,823
2019-05-30 12:56:00,810
2019-05-30 12:57:00,812
2019-05-30 12:58:00,837
2019-05-30 12:59:00,838
2019-05-30 13:00:00,857
2019-05-30 13:01:00,874
2019-05-30 13:02:00,905
2019-05-30 13:03:00,944
2019-05-30 13:04:00,965
2019-05-30 13:05:00,983
2019-05-30 13:06:00,1006
2019-05-30 13:07:00,1031
2019-05-30 13:08:00,1047
2019-05-30 13:09:00,1088
2019-05-30 13:10:00,1123
2019-05-30 13:11:00,1156
2019-05-30 13:12:00,1156
2019-05-30 13:13:00,1133
2019-05-30 13:14:00,1178
2019-05-30 13:15:00,596
2019-05-30 13:16:00,652
2019-05-30 13:17:00,414
2019-05-30 13:18:00,499
2019-05-30 13:19:00,951
2019-05-30 13:20:00,813
2019-05-30 13:21:00,693
2019-05-30 13:22:00,580
2019-05-30 13:23:00,545
2019-05-30 13:24:00,531
2019-05-30 13:25:00,542
2019-05-30 13:26:00,636
2019-05-30 13:27:00,557
2019-05-30 13:28:00,627
2019-05-30 13:29:00,758
2019-05-30 13:30:00,737
2019-05-30 13:31:00,765
2019-05-30 13:32:00,760
2019-05-30 13:33:00,747
2019-05-30 13:34:00,734
2019-05-30 13:35:00,722
2019-05-30 13:36:00,708
2019-05-30 13:37:00,520
2019-05-30 13:38:00,461
2019-05-30 13:39:00,453
2019-05-30 13:40:00,468
2019-05-30 13:41:00,558
2019-05-30 13:42:00,606
2019-05-30 13:43:00,587
2019-05-30 13:44:00,604
2019-05-30 13:45:00,672
2019-05-30 13:46:00,859
2019-05-30 13:47:00,666
2019-05-30 13:48:00,494
2019-05-30 13:49:00,441
2019-05-30 13:50:00,429
2019-05-30 13:51:00,554
2019-05-30 13:52:00,578
2019-05-30 13:53:00,717
2019-05-30 13:54:00,722
2019-05-30 13:55:00,613
2019-05-30 13:56:00,762
2019-05-30 13:57:00,695
2019-05-30 13:58:00,610
2019-05-30 13:59:00,892
2019-05-30 14:00:00,1009
2019-05-30 14:01:00,756
2019-05-30 14:02:00,925
2019-05-30 14:03:00,743
2019-05-30 14:04:00,765
2019-05-30 14:05:00,739
2019-05-30 14:06:00,768
2019-05-30 14:07:00,855
2019-05-30 14:08:00,834
2019-05-30 14:09:00,805
2019-05-30 14:10:00,692
2019-05-30 14:11:00,663
2019-05-30 14:12:00,604
2019-05-30 14:13:00,525
2019-05-30 14:14:00,470
2019-05-30 14:15:00,501
