fecha,potencia,temp,hum,presion,dir,vel,nub,situacion
2019-05-30 12:00:00,866.1333333333333,5.0,90.0,1023.1,E,9.4,8,Cubierto
2019-05-30 13:00:00,732.9,6.4,88.0,1023.5,E,3.6,8,Cubierto
2019-05-30 14:00:00,455.0188679245283,7.6,83.0,1023.4,SE,11.2,7,Nuboso
2019-05-30 15:00:00,191.66666666666666,8.4,75.0,1022.9,E,14.8,7,Nuboso
2019-05-30 16:00:00,60.36666666666667,9.6,66.0,1022.3,E,16.6,6,Nuboso
2019-05-30 17:00:00,3.933333333333333,10.2,64.0,1021.4,E,16.6,6,Nuboso
2019-05-30 18:00:00,0.0,10.0,64.0,1021.0,E,14.8,7,Nuboso
2019-05-30 19:00:00,0.0,9.8,64.0,1020.9,E,14.8,8,Cubierto
2019-05-30 20:00:00,0.0,9.2,68.0,1021.4,E,11.2,8,Cubierto
2019-05-30 21:00:00,0.0,8.3,76.0,1021.6,E,7.6,8,Cubierto
2019-05-30 22:00:00,0.0,7.8,77.0,1021.8,E,5.4,8,Cubierto
2019-05-30 23:00:00,0.0,6.6,79.0,1022.2,E,7.6,8,Cubierto
2019-05-31 00:00:00,0.0,6.4,82.0,1022.4,E,7.6,8,Cubierto
2019-05-31 01:00:00,0.0,6.3,82.0,1022.5,E,7.6,8,Cubierto
2019-05-31 02:00:00,0.0,6.2,82.0,1022.6,E,7.6,8,Cubierto
2019-05-31 03:00:00,0.0,6.3,80.0,1022.7,E,7.6,8,Cubierto
2019-05-31 04:00:00,0.0,6.0,83.0,1022.3,E,7.6,8,Cubierto
2019-05-31 05:00:00,0.0,5.8,83.0,1021.5,E,7.6,8,Cubierto
2019-05-31 06:00:00,0.0,5.6,86.0,1020.8,E,5.4,8,Cubierto
2019-05-31 07:00:00,0.0,5.6,86.0,1020.7,S,5.4,8,Cubierto
2019-05-31 08:00:00,16.816666666666666,5.5,87.0,1020.9,SE,3.6,8,Cubierto
2019-05-31 09:00:00,122.44067796610169,5.8,87.0,1020.8,-,0.0,8,Cubierto
2019-05-31 10:00:00,414.31666666666666,5.9,86.0,1021.2,-,0.0,8,Cubierto
2019-05-31 11:00:00,420.05,5.7,89.0,1021.2,SE,5.4,8,Cubierto
2019-05-31 12:00:00,406.8333333333333,5.2,87.0,1020.9,E,7.6,7,Nuboso
2019-05-31 13:00:00,347.76666666666665,7.4,74.0,1020.8,NE,9.4,7,Nuboso
2019-05-31 14:00:00,393.9830508474576,8.9,65.0,1021.0,N,13.0,8,Cubierto
2019-05-31 15:00:00,563.9333333333333,9.4,67.0,1020.5,N,9.4,7,Nuboso
2019-05-31 16:00:00,322.78333333333336,9.6,64.0,1019.6,NW,9.4,7,Nuboso
2019-05-31 17:00:00,61.53333333333333,10.4,60.0,1018.5,NW,3.6,6,Nuboso
2019-05-31 18:00:00,0.0,12.0,54.0,1018.1,NW,9.4,3,Nubes dispersas
2019-05-31 19:00:00,0.0,12.5,55.0,1017.7,N,7.6,1,Algunas nubes
2019-05-31 20:00:00,0.0,12.0,60.0,1017.6,N,7.6,1,Algunas nubes
